dataset,mode,TW,dyn_stw,speculative,csr_compress,layer,readLatency,bufferLatency,icLatency,coreLatencyADC,coreLatencyAccum,coreLatencyOther,readDynamicEnergy,bufferDynamicEnergy,icDynamicEnergy,coreEnergyADC,coreEnergyAccum,coreEnergyOther,successRate,Sparsity,Compression ratio
IMAGENET,ComPASS,0,True,True,True,1,1.83e+07,1.78e+07,1.95e+02,3.22e+03,3.70e+05,1.61e+05,1.62e+08,1.77e+06,1.06e+04,4.71e+05,1.59e+08,6.39e+05,0.61,0.591,0.955
IMAGENET,ComPASS,0,True,True,True,2,8.67e+06,7.96e+06,8.72e+01,3.22e+03,5.46e+05,1.61e+05,1.50e+08,7.93e+05,4.73e+03,4.71e+05,1.48e+08,6.39e+05,0.19,0.936,0.427
IMAGENET,ComPASS,0,True,True,True,3,1.91e+07,1.85e+07,2.02e+02,3.22e+03,4.89e+05,1.61e+05,2.17e+08,1.84e+06,1.10e+04,4.71e+05,2.14e+08,6.39e+05,0.51,0.703,0.991
IMAGENET,ComPASS,0,True,True,True,4,1.11e+07,1.03e+07,1.13e+02,3.22e+03,6.12e+05,1.61e+05,2.16e+08,1.03e+06,6.12e+03,4.71e+05,2.14e+08,6.39e+05,0.16,0.923,0.553
IMAGENET,ComPASS,0,True,True,True,5,5.43e+06,5.20e+06,3.58e+02,1.61e+03,1.45e+05,8.06e+04,7.45e+07,4.76e+05,2.07e+04,2.36e+05,7.34e+07,3.19e+05,0.67,0.73,1.015
IMAGENET,ComPASS,0,True,True,True,6,8.08e+06,7.22e+06,2.54e+02,6.45e+03,7.71e+05,8.06e+04,1.21e+08,3.39e+05,2.81e+04,4.71e+05,1.20e+08,3.19e+05,0.36,0.952,0.36
IMAGENET,ComPASS,0,True,True,True,7,1.57e+07,1.53e+07,5.36e+02,6.45e+03,3.50e+05,8.06e+04,8.22e+07,7.17e+05,5.93e+04,4.71e+05,8.07e+07,3.19e+05,0.86,0.845,0.761
IMAGENET,ComPASS,0,True,True,True,8,3.95e+06,3.35e+06,1.18e+02,6.45e+03,5.16e+05,8.06e+04,4.46e+07,1.57e+05,1.30e+04,4.71e+05,4.37e+07,3.19e+05,0.49,0.983,0.167
IMAGENET,ComPASS,0,True,True,True,9,1.77e+06,1.63e+06,7.61e+02,1.61e+03,1.07e+05,4.03e+04,3.93e+07,1.52e+05,8.75e+04,2.36e+05,3.88e+07,1.60e+05,0.81,0.902,0.587
IMAGENET,ComPASS,0,True,True,True,10,2.96e+06,2.22e+06,5.73e+02,6.45e+03,7.05e+05,4.03e+04,5.17e+07,1.26e+05,1.32e+05,4.71e+05,5.17e+07,1.60e+05,0.55,0.974,0.221
IMAGENET,ComPASS,0,True,True,True,11,5.52e+06,5.08e+06,1.31e+03,6.45e+03,4.06e+05,4.03e+04,6.68e+07,2.87e+05,3.01e+05,4.71e+05,6.61e+07,1.60e+05,0.82,0.929,0.505
IMAGENET,ComPASS,0,True,True,True,12,2.60e+06,1.94e+06,5.01e+02,6.45e+03,6.33e+05,4.03e+04,4.65e+07,1.10e+05,1.15e+05,4.71e+05,4.66e+07,1.60e+05,0.59,0.981,0.193
IMAGENET,ComPASS,0,True,True,True,13,7.21e+05,6.26e+05,2.19e+03,1.61e+03,9.66e+04,2.02e+04,2.52e+07,1.41e+05,5.13e+05,2.36e+05,2.55e+07,7.98e+04,0.87,0.94,0.441
IMAGENET,ComPASS,0,True,True,True,14,5.17e+05,3.91e+05,1.50e+03,3.22e+03,1.80e+05,2.02e+04,1.61e+07,1.58e+05,7.03e+05,4.71e+05,2.20e+07,7.98e+04,0.82,0.987,0.151
IMAGENET,ComPASS,0,True,True,True,15,6.96e+05,5.28e+05,2.02e+03,3.22e+03,2.16e+05,2.02e+04,2.58e+07,2.13e+05,9.50e+05,4.71e+05,3.10e+07,7.98e+04,0.80,0.975,0.204
IMAGENET,ComPASS,0,True,True,True,16,4.97e+05,2.02e+05,2.23e+03,3.22e+03,3.40e+05,2.24e+04,5.58e+07,1.96e+05,1.05e+06,4.71e+05,6.07e+07,7.98e+04,0.66,0.978,0.225
DVS128GestureSimplify,ComPASS,1,False,False,False,1,5.26e+07,4.93e+07,9.50e+00,3.37e+04,1.11e+06,2.13e+06,3.12e+07,1.32e+05,9.18e+01,2.73e+05,2.41e+07,6.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,2,1.12e+07,4.39e+06,7.05e+02,3.37e+04,6.27e+06,5.32e+05,7.68e+08,1.24e+06,7.80e+04,2.46e+06,7.63e+08,1.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,3,5.26e+06,2.20e+06,7.05e+02,1.68e+04,2.91e+06,1.33e+05,1.39e+08,3.19e+05,7.80e+04,6.15e+05,1.38e+08,4.17e+05,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,4,1.29e+06,5.53e+05,7.05e+02,4.21e+03,6.99e+05,3.41e+04,2.61e+07,9.02e+04,7.80e+04,1.54e+05,2.57e+07,1.04e+05,0,0,0
