dataset,mode,TW,dyn_stw,speculative,csr_compress,Chip Area,Chip ADC Area,Chip IC Area,Chip Accum Area,Chip Other Area,Chip Popcnt Area,Chip Array Area,Pipelined Clock Latency,Total Read Latency,Total Buffer Latency,Total IC Latency,Total Core Latency ADC,Total Core Latency Accum,Total Core Latency Other,Total Array Read Latency,Total Array Latency ADC,Total Array Latency Accum,Total Array Latency Other,Total Read Latency Buffer,Total Read Latency IC,Total Read Dynamic Energy,Total Buffer Dynamic Energy,Total IC Dynamic Energy,Total Core Energy ADC,Total Core Energy Accum,Total Core Energy Other,Total Core Energy Popcnt,Total Leakage Energy,Total Array Read Dynamic Energy,Total Array Energy ADC,Total Array Energy Accum,Total Array Energy Other,Total Array Energy Popcnt,Total Read Dynamic Energy Buffer,Total Read Dynamic Energy IC,Energy Efficiency TOPS/W,Throughput TOPS,Throughput FPS,Compute Efficiency TOPS/mm\^2
IMAGENET,ComPASS,64,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.12e+07,1.89e+08,1.80e+08,4.71e+04,6.61e+04,7.58e+06,1.21e+06,7.20e+06,6.61e+04,7.14e+06,0.00e+00,1.81e+08,9.42e+04,1.57e+09,1.60e+07,1.74e+07,6.83e+06,1.50e+09,4.79e+06,2.31e+07,1.77e+09,1.53e+09,6.83e+06,1.50e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,108.26939941126098,20.744408424809535,47.22140953283755,0.14238162159440773
CIFAR10DVS,PTB,48,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,1.00e+08,2.26e+08,5.66e+07,1.98e+04,8.85e+04,1.67e+08,2.83e+06,1.67e+08,8.85e+04,1.67e+08,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,3.55e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,27.60561902659572,1.6611022102045638,9.950633149387963,0.0452127081425828
CIFAR10DVS,ComPASS,100,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.38e+07,6.73e+07,5.66e+07,1.98e+04,8.85e+04,7.82e+06,2.83e+06,7.83e+06,8.85e+04,7.75e+06,0.00e+00,5.67e+07,3.97e+04,8.71e+08,4.35e+06,1.50e+07,3.52e+06,8.30e+08,8.87e+06,9.33e+06,1.90e+09,8.41e+08,3.52e+06,8.28e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,49.657951377565055,3.101133923280204,18.57697005525227,0.0840035051449
DVS128GestureSimplify,ComPASS,0,True,True,True,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,1.18e+07,1.73e+07,1.10e+07,8.16e+03,8.85e+04,3.43e+06,2.83e+06,3.45e+06,8.85e+04,3.36e+06,0.00e+00,1.11e+07,1.63e+04,3.49e+08,1.61e+06,6.42e+06,3.52e+06,3.44e+08,8.87e+06,9.33e+06,4.15e+08,3.46e+08,3.52e+06,3.42e+08,0.00e+00,9.33e+06,3.69e+06,1.62e+07,180.5348982507703,14.180329139344572,84.94550532867783,0.38411670739886195
CIFAR10DVS,ComPASS,0,True,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.46e+07,7.31e+07,5.66e+07,1.98e+04,8.85e+04,1.35e+07,2.83e+06,1.36e+07,8.85e+04,1.35e+07,0.00e+00,5.67e+07,3.97e+04,1.44e+09,4.35e+06,1.50e+07,3.52e+06,1.40e+09,8.87e+06,9.33e+06,1.93e+09,1.40e+09,3.52e+06,1.40e+09,0.00e+00,9.33e+06,9.20e+06,3.78e+07,40.87016905564797,3.055220802420531,18.301933022846026,0.08275981068352878
CIFAR10DVS,ComPASS,1,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.46e+07,7.31e+07,5.66e+07,1.98e+04,8.85e+04,1.35e+07,2.83e+06,1.36e+07,8.85e+04,1.35e+07,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.50e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,1.93e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,40.98443581334604,3.055220802420531,18.301933022846026,0.08275981068352878
CIFAR10DVS,PTB,1,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,5.21e+07,6.32e+07,5.66e+07,1.98e+04,8.85e+04,3.67e+06,2.83e+06,3.69e+06,8.85e+04,3.60e+06,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,1.84e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,42.12617869769917,3.2056802984535704,19.20324255074208,0.08725380463768091
IMAGENET,PTB,8,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,2.40e+07,2.07e+08,1.80e+08,4.71e+04,6.61e+04,2.54e+07,1.21e+06,2.50e+07,6.61e+04,2.49e+07,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,2.01e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,80.87609585513904,18.305982827658152,41.67071406924798,0.12632468741848282
CIFAR10DVS,ComPASS,64,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.37e+07,6.71e+07,5.66e+07,1.98e+04,8.85e+04,7.61e+06,2.83e+06,7.63e+06,8.85e+04,7.54e+06,0.00e+00,5.67e+07,3.97e+04,8.66e+08,4.35e+06,1.50e+07,3.52e+06,8.25e+08,8.87e+06,9.33e+06,1.90e+09,8.36e+08,3.52e+06,8.23e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,49.80873253108687,3.1063125593928347,18.607992052486633,0.08414378402226971
CIFAR10DVS,ComPASS,0,True,False,True,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,3.09e+07,4.51e+07,2.87e+07,6.98e+03,8.85e+04,1.35e+07,2.83e+06,1.36e+07,8.85e+04,1.35e+07,0.00e+00,2.88e+07,1.40e+04,1.40e+09,1.67e+06,5.15e+06,3.52e+06,1.40e+09,8.87e+06,9.33e+06,1.09e+09,1.40e+09,3.52e+06,1.40e+09,0.00e+00,9.33e+06,3.34e+06,1.30e+07,54.97883435005905,5.405840467316227,32.383037614377365,0.14643338815512225
